Date,Start (ET),Home,Opponent,Result,Tm,Opp,W,L,Streak,Year,Month,Day
2001-03-12,20:00:00,1,Miami Heat,W,94.0,77.0,38.0,26.0,W 1,2001.0,March,Friday
2001-03-18,15:30:00,1,Cleveland Cavaliers,W,91.0,76.0,39.0,28.0,W 1,2001.0,March,Thursday
2001-03-21,20:00:00,1,Dallas Mavericks,W,109.0,97.0,40.0,28.0,W 2,2001.0,March,Sunday
2001-03-23,20:00:00,1,Denver Nuggets,W,101.0,90.0,41.0,28.0,W 3,2001.0,March,Tuesday
2001-03-25,15:30:00,1,New Jersey Nets,W,105.0,91.0,42.0,28.0,W 4,2001.0,March,Thursday
2001-04-04,20:00:00,1,Portland Trail Blazers,W,83.0,79.0,44.0,30.0,W 2,2001.0,April,Thursday
2001-04-06,20:00:00,1,Phoenix Suns,W,101.0,88.0,45.0,30.0,W 3,2001.0,April,Saturday
2001-04-08,17:30:00,1,Los Angeles Lakers,L,99.0,104.0,45.0,31.0,L 1,2001.0,April,Monday
2001-04-15,15:00:00,1,Utah Jazz,W,107.0,100.0,47.0,33.0,W 1,2001.0,April,Monday
2001-10-30,20:00:00,1,Philadelphia 76ers,W,83.0,74.0,1.0,0.0,W 1,2001.0,October,Tuesday
2001-11-02,20:00:00,1,Memphis Grizzlies,W,111.0,102.0,2.0,0.0,W 2,2001.0,November,Tuesday
2001-11-06,20:00:00,1,New York Knicks,W,104.0,94.0,4.0,0.0,W 4,2001.0,November,Saturday
2001-11-08,20:00:00,1,Chicago Bulls,W,127.0,74.0,5.0,0.0,W 5,2001.0,November,Monday
2001-11-13,20:00:00,1,Cleveland Cavaliers,L,103.0,107.0,6.0,1.0,L 1,2001.0,November,Saturday
2001-11-17,20:00:00,1,Orlando Magic,W,103.0,95.0,8.0,1.0,W 2,2001.0,November,Wednesday
2001-11-24,20:00:00,1,San Antonio Spurs,W,99.0,94.0,10.0,2.0,W 1,2001.0,November,Wednesday
2001-12-04,20:00:00,1,Seattle SuperSonics,W,108.0,83.0,11.0,5.0,W 1,2001.0,December,Thursday
2001-12-08,20:00:00,1,Houston Rockets,W,107.0,97.0,13.0,5.0,W 3,2001.0,December,Monday
2001-12-11,20:00:00,1,Golden State Warriors,W,107.0,86.0,14.0,5.0,W 4,2001.0,December,Thursday
2001-12-14,20:00:00,1,Sacramento Kings,W,114.0,94.0,16.0,5.0,W 6,2001.0,December,Sunday
2001-12-18,20:00:00,1,Dallas Mavericks,L,103.0,107.0,16.0,7.0,L 2,2001.0,December,Thursday
2001-12-21,20:00:00,1,Charlotte Hornets,W,94.0,89.0,17.0,8.0,W 1,2001.0,December,Sunday
2002-01-02,20:00:00,1,Milwaukee Bucks,W,95.0,77.0,21.0,9.0,W 2,2002.0,January,Tuesday
2002-01-04,20:00:00,1,Utah Jazz,W,93.0,86.0,22.0,9.0,W 3,2002.0,January,Thursday
2002-01-07,20:00:00,1,Detroit Pistons,W,109.0,93.0,24.0,9.0,W 5,2002.0,January,Sunday
2002-01-09,20:00:00,1,Seattle SuperSonics,W,111.0,106.0,25.0,9.0,W 6,2002.0,January,Tuesday
2002-01-11,20:00:00,1,Los Angeles Lakers,W,120.0,102.0,26.0,9.0,W 7,2002.0,January,Thursday
2002-01-15,20:00:00,1,Los Angeles Clippers,W,97.0,83.0,28.0,9.0,W 9,2002.0,January,Monday
2002-01-21,18:00:00,1,Washington Wizards,W,105.0,101.0,30.0,10.0,W 2,2002.0,January,Sunday
2002-01-26,20:00:00,1,Atlanta Hawks,W,103.0,80.0,31.0,12.0,W 1,2002.0,January,Friday
2002-02-03,14:30:00,1,Sacramento Kings,L,107.0,112.0,32.0,15.0,L 1,2002.0,February,Wednesday
2002-02-06,20:00:00,1,Portland Trail Blazers,W,113.0,103.0,33.0,16.0,W 1,2002.0,February,Saturday
2002-02-13,20:00:00,1,Phoenix Suns,W,107.0,92.0,34.0,16.0,W 2,2002.0,February,Saturday
2002-02-15,20:00:00,1,Denver Nuggets,L,98.0,99.0,34.0,17.0,L 1,2002.0,February,Monday
2002-02-17,15:30:00,1,Miami Heat,W,93.0,80.0,35.0,17.0,W 1,2002.0,February,Wednesday
2002-02-27,20:00:00,1,Los Angeles Lakers,W,112.0,101.0,39.0,18.0,W 3,2002.0,February,Saturday
2002-03-01,20:00:00,1,San Antonio Spurs,L,77.0,85.0,39.0,19.0,L 1,2002.0,March,Monday
2002-03-11,20:00:00,1,Los Angeles Clippers,L,99.0,108.0,40.0,23.0,L 4,2002.0,March,Thursday
2002-03-13,20:00:00,1,Houston Rockets,L,95.0,96.0,40.0,24.0,L 5,2002.0,March,Saturday
2002-03-15,20:00:00,1,Indiana Pacers,L,85.0,98.0,40.0,25.0,L 6,2002.0,March,Monday
2002-03-17,15:30:00,1,Utah Jazz,L,89.0,96.0,40.0,26.0,L 7,2002.0,March,Wednesday
